# Name,X,Y,PHASE,MAG
FE_MEBT:BPM_D1056,FE_MEBT:BPM_D1056:XPOS_RD,FE_MEBT:BPM_D1056:YPOS_RD,FE_MEBT:BPM_D1056:PHASE_RD,FE_MEBT:BPM_D1056:MAG_RD
LS1_CB11:BPM_D1889,LS1_CB11:BPM_D1889:XPOS_RD,LS1_CB11:BPM_D1889:YPOS_RD,LS1_CB11:BPM_D1889:PHASE_RD,LS1_CB11:BPM_D1889:MAG_RD
LS1_CB11:BPM_D1909,LS1_CB11:BPM_D1909:XPOS_RD,LS1_CB11:BPM_D1909:YPOS_RD,LS1_CB11:BPM_D1909:PHASE_RD,LS1_CB11:BPM_D1909:MAG_RD
LS1_WB11:BPM_D1923,LS1_WB11:BPM_D1923:XPOS_RD,LS1_WB11:BPM_D1923:YPOS_RD,LS1_WB11:BPM_D1923:PHASE_RD,LS1_WB11:BPM_D1923:MAG_RD
LS1_BTS:BPM_D1967,LS1_BTS:BPM_D1967:XPOS_RD,LS1_BTS:BPM_D1967:YPOS_RD,LS1_BTS:BPM_D1967:PHASE_RD,LS1_BTS:BPM_D1967:MAG_RD
# LS1_BTS:BPM_D1980,LS1_BTS:BPM_D1980:XPOS_RD,LS1_BTS:BPM_D1980:YPOS_RD,LS1_BTS:BPM_D1980:PHASE_RD,LS1_BTS:BPM_D1980:MAG_RD
LS1_BTS:BPM_D2027,LS1_BTS:BPM_D2027:XPOS_RD,LS1_BTS:BPM_D2027:YPOS_RD,LS1_BTS:BPM_D2027:PHASE_RD,LS1_BTS:BPM_D2027:MAG_RD
LS1_BTS:BPM_D2054,LS1_BTS:BPM_D2054:XPOS_RD,LS1_BTS:BPM_D2054:YPOS_RD,LS1_BTS:BPM_D2054:PHASE_RD,LS1_BTS:BPM_D2054:MAG_RD
LS1_BTS:BPM_D2116,LS1_BTS:BPM_D2116:XPOS_RD,LS1_BTS:BPM_D2116:YPOS_RD,LS1_BTS:BPM_D2116:PHASE_RD,LS1_BTS:BPM_D2116:MAG_RD
LS1_BTS:BPM_D2130,LS1_BTS:BPM_D2130:XPOS_RD,LS1_BTS:BPM_D2130:YPOS_RD,LS1_BTS:BPM_D2130:PHASE_RD,LS1_BTS:BPM_D2130:MAG_RD
FS1_CSS:BPM_D2212,FS1_CSS:BPM_D2212:XPOS_RD,FS1_CSS:BPM_D2212:YPOS_RD,FS1_CSS:BPM_D2212:PHASE_RD,FS1_CSS:BPM_D2212:MAG_RD
FS1_CSS:BPM_D2223,FS1_CSS:BPM_D2223:XPOS_RD,FS1_CSS:BPM_D2223:YPOS_RD,FS1_CSS:BPM_D2223:PHASE_RD,FS1_CSS:BPM_D2223:MAG_RD
FS1_CSS:BPM_D2248,FS1_CSS:BPM_D2248:XPOS_RD,FS1_CSS:BPM_D2248:YPOS_RD,FS1_CSS:BPM_D2248:PHASE_RD,FS1_CSS:BPM_D2248:MAG_RD
FS1_CSS:BPM_D2278,FS1_CSS:BPM_D2278:XPOS_RD,FS1_CSS:BPM_D2278:YPOS_RD,FS1_CSS:BPM_D2278:PHASE_RD,FS1_CSS:BPM_D2278:MAG_RD
FS1_CSS:BPM_D2313,FS1_CSS:BPM_D2313:XPOS_RD,FS1_CSS:BPM_D2313:YPOS_RD,FS1_CSS:BPM_D2313:PHASE_RD,FS1_CSS:BPM_D2313:MAG_RD
